Id,LotArea,FullBath,HalfBath,TotRmsAbvGrd,TotalBsmtSF,BedroomAbvGr,GrLivArea,YrSold,SalePrice,Qual,Cond,Age
train_941,4500,1,0,10,728,2,1214,2006,91111.2210154508,3A,2A,69
train_4991,7226,1,0,5,560,2,792,2008,75472.8281190225,3A,2A,38
train_8224,10625,1,1,7,1468,4,1291,2009,225069.2959556,9B,2A,51
train_5617,14450,2,0,4,1452,2,827,2007,95965.4563586176,5B,3A,99
train_4197,3010,1,0,6,1114,3,2030,2007,111001.359838755,5B,3A,83
train_9849,10140,1,0,7,720,3,1855,2006,159910.417510714,5B,3A,72
train_9699,10800,2,1,5,504,3,2403,2007,173510.171429535,5B,3A,67
train_3976,9950,1,1,8,844,3,1666,2009,79759.4030071494,5B,3A,63
train_4131,9525,1,1,4,1212,2,969,2009,77749.7558244946,5B,3A,62
train_9758,8820,2,1,4,858,4,1426,2006,162191.93379919,5B,3A,56
train_5825,9786,1,0,7,1494,3,1724,2008,132457.482909324,5B,3A,53
train_7247,1526,1,1,7,1392,4,1382,2007,119388.619956363,5B,3A,52
train_3117,13006,2,0,8,576,3,1935,2007,167474.595422671,5B,3A,49
train_4963,9000,2,0,5,1494,3,875,2008,162880.486914621,5B,3A,49
train_5030,8450,2,0,8,1498,3,894,2007,91269.9133654691,5B,3A,48
train_3516,28698,2,1,7,938,3,1494,2007,126307.348005824,5B,3A,47
train_6671,13125,1,0,8,1561,2,1682,2007,177397.961619844,5B,3A,44
train_5370,53107,2,1,6,1040,3,1406,2008,168877.203501395,5B,3A,44
train_4853,13400,1,0,7,1051,4,1626,2009,132495.707420405,5B,3A,44
train_5600,6371,2,1,6,686,2,1689,2009,113147.166486185,5B,3A,42
train_860,9803,2,0,6,858,4,1235,2009,75847.8384024878,5B,3A,33
train_7069,17503,1,0,6,910,3,1060,2008,128200.700804392,5B,3A,32
train_4522,13501,1,1,8,926,1,1661,2006,164775.392069219,5B,3A,29
train_4888,9020,1,0,6,1184,3,1208,2009,91154.2686502046,5B,3A,32
train_2962,9920,2,1,9,1234,3,2418,2006,200815.858649097,5B,3A,24
train_7532,70761,1,1,7,1470,2,1375,2008,223190.000548124,5B,3A,19
train_375,7560,1,0,5,1090,4,1296,2007,110919.840374658,5B,3A,3
train_1493,7472,2,0,4,1141,3,835,2007,88382.5760598571,5B,3A,3
train_7254,17671,2,0,6,992,3,1928,2007,175434.645057141,5B,3A,3
train_8582,14000,1,1,5,725,3,1391,2006,98601.981388482,5B,3A,2
train_6729,9600,2,1,9,561,3,1099,2007,122623.445129829,5B,3A,1
train_4332,6120,1,0,6,1734,2,1053,2009,177729.233518354,5B,3A,2
train_7481,6792,2,1,6,1868,3,1250,2010,167099.093669625,5B,3A,2
train_1293,27650,2,0,6,1304,2,1719,2009,210213.084608107,5B,3A,0
train_28,5820,1,0,4,849,3,1026,2007,202141.322125297,10B,7B,125
train_4514,16259,2,0,14,896,2,1131,2007,232116.062413078,10B,7B,117
train_906,3182,1,1,8,991,4,996,2007,187086.556606577,10B,7B,97
train_2092,7800,1,1,5,936,3,864,2009,259763.728814033,10B,7B,50
train_4317,8990,1,1,7,1896,3,1310,2008,263535.614691147,10B,7B,47
train_2359,8314,2,0,7,793,3,1234,2006,195112.346567076,10B,7B,35
train_2886,10355,1,1,7,1064,3,1004,2007,220099.925080002,10B,7B,33
train_4978,11249,2,0,6,1184,3,2031,2008,296766.089280502,10B,7B,32
train_1876,70761,1,1,9,1554,3,2013,2009,376576.435093129,10B,7B,32
train_2196,6000,2,0,7,1190,3,1320,2009,240272.993610945,10B,7B,32
train_4330,13286,1,0,6,561,3,1976,2008,274374.805325942,10B,7B,9
train_4384,6000,2,0,10,912,2,1651,2008,256145.291075907,10B,7B,9
train_4161,10846,2,0,8,768,2,1248,2010,242703.824817668,10B,7B,8
train_5928,15593,2,0,7,853,4,1355,2007,256875.622334591,10B,7B,4
train_1045,14226,2,1,5,970,3,1525,2010,237891.313875539,10B,7B,6
train_1701,6120,2,1,4,547,2,1150,2008,192495.452772215,10B,7B,2
train_1719,11500,1,0,6,384,3,1742,2007,236527.076991045,10B,7B,0
train_6475,8400,2,1,6,1626,2,1855,2007,302412.48345452,10B,4B,53
train_2019,11900,2,0,5,1144,2,1248,2006,223287.167950109,10B,4B,49
train_2037,4224,2,1,6,1080,2,1473,2010,224020.392732676,10B,4B,45
train_8636,10800,3,1,7,994,3,848,2009,212880.974804851,10B,4B,3
train_4571,13501,1,1,5,1032,3,1993,2006,174283.593910155,3A,6B,106
train_1298,10880,1,1,4,1700,3,1855,2007,173786.225356238,3A,6B,89
train_3663,6000,2,1,8,768,3,1385,2009,122383.309320214,3A,6B,86
train_157,11200,2,0,7,912,3,1003,2006,119704.741445546,3A,6B,55
train_8549,3196,2,1,8,784,3,999,2006,72072.5569898653,3A,6B,52
train_1703,4426,2,1,9,725,3,935,2007,95895.3603833626,3A,6B,43
train_1148,6442,2,1,6,884,3,1800,2007,95529.7504557378,3A,6B,42
train_5410,10800,1,0,5,1566,3,1709,2008,148220.395936954,3A,6B,43
train_5638,7540,1,0,5,684,3,2046,2009,150935.537775858,3A,6B,33
train_5078,1526,2,1,7,483,2,1056,2008,126102.520616045,3A,6B,31
train_6639,7820,1,1,7,870,4,2000,2007,189110.384085506,3A,6B,30
train_7678,5925,2,1,8,1362,3,2062,2010,188247.296350374,3A,6B,30
train_850,25095,2,0,6,0,3,2332,2009,157830.263868988,3A,6B,28
train_8928,8125,2,0,4,936,4,1117,2007,80195.1230507987,3A,6B,14
train_2125,21780,1,1,6,864,3,1086,2008,150949.152965877,3A,6B,11
train_2524,12220,1,1,7,1768,2,1640,2008,207688.406052747,3A,6B,11
train_1111,4590,2,0,6,992,2,1668,2007,163315.940292625,3A,6B,8
train_4936,2665,3,0,9,1040,3,1869,2009,162739.95837756,3A,6B,6
train_6421,6820,2,1,11,1164,4,334,2007,102641.205252911,3A,6B,4
train_7779,6900,1,0,7,799,3,1100,2006,123503.428030342,3A,6B,3
train_947,7800,1,1,5,742,2,858,2006,84477.1445495199,3A,6B,2
